Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
1167719225,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),David Johnson (10981255),LeSean McCoy (10981275),DeSean Jackson (10981665),Jarvis Landry (10981635),Cameron Meredith (10981671),Benjamin Watson (10982201),Michael Thomas (10981601),Bills (10982489),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1167719226,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),James Conner (10981319),Ezekiel Elliott (10981259),DeSean Jackson (10981665),Cameron Meredith (10981671),Michael Thomas (10981601),O.J. Howard (10982203),David Johnson (10981255),Cowboys (10982499),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1167719227,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),Saquon Barkley (10981267),James Conner (10981319),Ted Ginn Jr. (10981673),DeSean Jackson (10981665),Michael Thomas (10981601),Benjamin Watson (10982201),David Johnson (10981255),Steelers (10982485),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1167719228,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),James Conner (10981319),Joe Mixon (10981273),Mike Evans (10981613),Tre'Quan Smith (10981753),Michael Thomas (10981601),O.J. Howard (10982203),David Johnson (10981255),Bengals (10982493),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1167719229,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),Alex Collins (10981283),Lamar Miller (10981287),Ted Ginn Jr. (10981673),DeSean Jackson (10981665),Michael Thomas (10981601),O.J. Howard (10982203),David Johnson (10981255),Ravens (10982481),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1167719230,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),Alex Collins (10981283),Leonard Fournette (10981261),DeSean Jackson (10981665),Cameron Meredith (10981671),Michael Thomas (10981601),Benjamin Watson (10982201),Melvin Gordon III (10981265),Ravens (10982481),,,,,,,,,,
1167719231,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),James Conner (10981319),Leonard Fournette (10981261),Mike Evans (10981613),Ted Ginn Jr. (10981673),Michael Thomas (10981601),Cameron Brate (10982205),Christian McCaffrey (10981269),Steelers (10982485),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1167719232,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),Saquon Barkley (10981267),Kareem Hunt (10981263),A.J. Green (10981605),DeSean Jackson (10981665),Cameron Meredith (10981671),O.J. Howard (10982203),Michael Thomas (10981601),Chiefs (10982500),,RB,Le'Veon Bell (10981253),Le'Veon Bell,10981253,RB/FLEX,9400,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.69
1167719233,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),Melvin Gordon III (10981265),Christian McCaffrey (10981269),Chris Hogan (10981623),Tre'Quan Smith (10981753),Michael Thomas (10981601),O.J. Howard (10982203),Mike Evans (10981613),Chargers (10982491),,RB,David Johnson (10981255),David Johnson,10981255,RB/FLEX,8800,WAS@ARI 09/09/2018 04:25PM ET,ARI,14
1167719234,NFL $2M Play-Action [$200K to 1st],58152831,$3 ,Drew Brees (10981166),Melvin Gordon III (10981265),Christian McCaffrey (10981269),Ted Ginn Jr. (10981673),A.J. Green (10981605),DeSean Jackson (10981665),Benjamin Watson (10982201),Michael Thomas (10981601),Chargers (10982491),,WR,Antonio Brown (10981597),Antonio Brown,10981597,WR/FLEX,8600,PIT@CLE 09/09/2018 01:00PM ET,PIT,24.63
