entry_id,contest_id,contest_name,QB,RB,RB,WR,WR,WR,TE,FLEX,DEF,,Instructions,,,,,,,,,,,,,,
1785261843,37435-228248536,$3.5M NFL Sunday Million ($1M to 1st),37435-22015,37435-64401,37435-55050,37435-73048,37435-27050,37435-40669,37435-33557,37435-60735,37435-12543,,1) Edit your lineup by inserting any player from this list into their appropriate position columns,,,,,,,,,,,,,,
,,,,,,,,,,,,,2) You can paste either the Player ID + Name OR ID from their respective columns,,,,,,,,,,,,,,
,,,,,,,,,,,,,3) Any information to the right of the last position column will be ignored in the upload. Don't leave blank rows. Any entries after a blank row will not be edited,,,,,,,,,,,,,,
,,,,,,,,,,,,,4) You can not use this form to create new entries,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,Player ID + Player Name,Id,Position,First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier
,,,,,,,,,,,,,37435-64401:Saquon Barkley,37435-64401,RB,Saquon,Saquon Barkley,Barkley,21.26874924,16,9200,NYG@DAL,NYG,DAL,,,
,,,,,,,,,,,,,37435-38791:Ezekiel Elliott,37435-38791,RB,Ezekiel,Ezekiel Elliott,Elliott,19.37333374,15,9100,NYG@DAL,DAL,NYG,,,
,,,,,,,,,,,,,37435-55050:Christian McCaffrey,37435-55050,RB,Christian,Christian McCaffrey,McCaffrey,20.75,16,8900,LAR@CAR,CAR,LAR,,,
,,,,,,,,,,,,,37435-57439:Patrick Mahomes,37435-57439,QB,Patrick,Patrick Mahomes,Mahomes,26.81749916,16,8700,KC@JAC,KC,JAC,,,
,,,,,,,,,,,,,37435-14190:Julio Jones,37435-14190,WR,Julio,Julio Jones,Jones,16.83749962,16,8500,ATL@MIN,ATL,MIN,,,
,,,,,,,,,,,,,37435-21939:Andrew Luck,37435-21939,QB,Andrew,Andrew Luck,Luck,21.40125084,16,8300,IND@LAC,IND,LAC,O,Calf,
,,,,,,,,,,,,,37435-22015:Russell Wilson,37435-22015,QB,Russell,Russell Wilson,Wilson,19.12000084,16,8200,CIN@SEA,SEA,CIN,,,
,,,,,,,,,,,,,37435-31360:Odell Beckham Jr.,37435-31360,WR,Odell,Odell Beckham Jr.,Beckham Jr.,15.98666636,12,8200,TEN@CLE,CLE,TEN,,,
,,,,,,,,,,,,,37435-62497:David Johnson,37435-62497,RB,David,David Johnson,Johnson,13.85000038,16,8100,DET@ARI,ARI,DET,,,
,,,,,,,,,,,,,37435-28900:Melvin Gordon III,37435-28900,RB,Melvin,Melvin Gordon III,Gordon III,20.875,12,8000,IND@LAC,LAC,IND,O,Contract dispute,
,,,,,,,,,,,,,37435-6616:Matt Ryan,37435-6616,QB,Matt,Matt Ryan,Ryan,22.59124947,16,8000,ATL@MIN,ATL,MIN,,,
,,,,,,,,,,,,,37435-28181:Le'Veon Bell,37435-28181,RB,Le'Veon,Le'Veon Bell,Bell,0,0,7900,BUF@NYJ,NYJ,BUF,,,
,,,,,,,,,,,,,37435-41535:Baker Mayfield,37435-41535,QB,Baker,Baker Mayfield,Mayfield,18.15000044,14,7900,TEN@CLE,CLE,TEN,,,
,,,,,,,,,,,,,37435-32384:Mike Evans,37435-32384,WR,Mike,Mike Evans,Evans,15.46249962,16,7900,SF@TB,TB,SF,Q,Illness,
,,,,,,,,,,,,,37435-14185:Cam Newton,37435-14185,QB,Cam,Cam Newton,Newton,21.11428615,14,7900,LAR@CAR,CAR,LAR,,,
,,,,,,,,,,,,,37435-52442:Joe Mixon,37435-52442,RB,Joe,Joe Mixon,Mixon,15.84999956,14,7800,CIN@SEA,CIN,SEA,,,
,,,,,,,,,,,,,37435-33076:Travis Kelce,37435-33076,TE,Travis,Travis Kelce,Kelce,15.19375038,16,7800,KC@JAC,KC,JAC,,,
,,,,,,,,,,,,,37435-38435:Jared Goff,37435-38435,QB,Jared,Jared Goff,Goff,20.14500046,16,7800,LAR@CAR,LAR,CAR,,,
,,,,,,,,,,,,,37435-22031:T.Y. Hilton,37435-22031,WR,T.Y.,T.Y. Hilton,Hilton,14.35714286,14,7700,IND@LAC,IND,LAC,,,
,,,,,,,,,,,,,37435-29253:Keenan Allen,37435-29253,WR,Keenan,Keenan Allen,Allen,14.10666707,15,7700,IND@LAC,LAC,IND,,,
