Entry ID,Contest Name,Contest ID,Entry Fee,QB,RB,RB,WR,WR,WR,TE,FLEX,DST,,Instructions,,,,,,,,
1592546643,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Matthew Stafford (13040626),Saquon Barkley (13041692),Devonta Freeman (13040871),Larry Fitzgerald (13040609),Kenny Golladay (13041093),Christian Kirk (13041576),Travis Kelce (13040674),Marvin Jones Jr. (13040696),Falcons (13040566),,1. Column A lists all of your contest entries for this draftgroup,,,,,,,,
1592546644,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Patrick Mahomes (13041545),Nick Chubb (13041370),Devonta Freeman (13040871),Curtis Samuel (13041344),Sammy Watkins (13040896),Dede Westbrook (13041585),Travis Kelce (13040674),Tyreek Hill (13041379),Falcons (13040566),,2. Your current lineup is listed next to each entry (blank for reservations),,,,,,,,
1592546645,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Jacoby Brissett (13040945),Devonta Freeman (13040871),David Johnson (13040796),Keenan Allen (13040827),Odell Beckham Jr. (13040853),Devin Funchess (13041081),Eric Ebron (13040925),T.Y. Hilton (13040718),Falcons (13040566),,3. You can change the lineup for an entry by entering the IDs of the players in the row next to that entry,,,,,,,,
1592546646,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Jimmy Garoppolo (13040818),Devonta Freeman (13040871),David Johnson (13040796),Amari Cooper (13040983),Chris Godwin (13041463),Marquise Goodwin (13040750),O.J. Howard (13041154),George Kittle (13041161),Falcons (13040566),,4. Use data from the Name+ID column or the ID column; you cannot use just the player's name,,,,,,,,
1592546647,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Jared Goff (13041127),Devonta Freeman (13040871),Christian McCaffrey (13041406),Brandin Cooks (13040951),Cooper Kupp (13041099),Curtis Samuel (13041344),Gerald Everett (13041539),David Johnson (13040796),Falcons (13040566),,5. For faster processing only include entries you are changing in the file you upload,,,,,,,,
1592546648,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Jameis Winston (13041027),Chris Carson (13041688),Devonta Freeman (13040871),Mike Evans (13040877),Chris Godwin (13041463),Dante Pettis (13041525),Hunter Henry (13041212),George Kittle (13041161),Falcons (13040566),,,,,,,,,,
1592546649,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Matt Ryan (13040600),Mark Ingram II (13040677),Joe Mixon (13041335),Stefon Diggs (13041049),Julio Jones (13040679),Calvin Ridley (13041706),Delanie Walker (13040604),Adam Thielen (13041159),Bengals (13040568),,Position,Name + ID,Name,ID,Roster Position,Salary,Game Info,TeamAbbrev,AvgPointsPerGame
1592546650,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Matt Ryan (13040600),Nick Chubb (13041370),Joe Mixon (13041335),Calvin Ridley (13041706),Mohamed Sanu (13040730),Adam Thielen (13041159),Austin Hooper (13041175),Saquon Barkley (13041692),Bengals (13040568),,RB,Ezekiel Elliott (13041144),Ezekiel Elliott,13041144,RB/FLEX,9200,NYG@DAL 09/08/2019 04:25PM ET,DAL,23.27
1592546651,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Marcus Mariota (13040950),David Johnson (13040796),Joe Mixon (13041335),Odell Beckham Jr. (13040853),Corey Davis (13041150),Adam Humphries (13040892),Delanie Walker (13040604),Mike Evans (13040877),Bengals (13040568),,RB,Saquon Barkley (13041692),Saquon Barkley,13041692,RB/FLEX,9000,NYG@DAL 09/08/2019 04:25PM ET,NYG,25.42
1592546652,NFL $2M Play-Action [$200K to 1st],74575376,$3 ,Jared Goff (13041127),Christian McCaffrey (13041406),Joe Mixon (13041335),Cooper Kupp (13041099),Curtis Samuel (13041344),Robert Woods (13040821),Travis Kelce (13040674),Gerald Everett (13041539),Bengals (13040568),,RB,Christian McCaffrey (13041406),Christian McCaffrey,13041406,RB/FLEX,8800,LAR@CAR 09/08/2019 01:00PM ET,CAR,25.28
