Player Name,Team,rec_att,rec_yds,rec_tds,fumbles,fpts
George Kittle,SF,5.9,77.5,0.6,0.0,17.1
Zach Ertz,PHI,6.5,70.3,0.6,0.0,17.0
Rob Gronkowski,NE,4.3,60.5,0.4,0.0,12.5
Jack Doyle,IND,4.3,44.7,0.6,0.1,12.0
Jared Cook,OAK,4.2,48.6,0.4,0.0,11.5
Austin Hooper,ATL,4.7,49.7,0.3,0.0,11.3
Greg Olsen,CAR,3.9,47.9,0.3,0.0,10.7
David Njoku,CLE,3.9,43.0,0.4,0.0,10.6
Eric Ebron,IND,3.1,37.3,0.6,0.0,10.3
Trey Burton,CHI,3.5,40.8,0.4,0.0,10.2
Cameron Brate,TB,3.4,37.2,0.5,0.0,10.1
Jordan Reed,WAS,4.6,44.7,0.2,0.1,9.9
Evan Engram,NYG,3.9,42.8,0.2,0.0,9.5
Kyle Rudolph,MIN,3.6,37.4,0.3,0.0,8.9
Vance McDonald,PIT,3.5,40.8,0.2,0.0,8.8
Jimmy Graham,GB,3.4,40.4,0.2,0.0,8.8
Jeff Heuerman,DEN,3.7,36.4,0.2,0.0,8.6
Chris Herndon IV,NYJ,3.1,35.7,0.3,0.0,8.2
C.J. Uzomah,CIN,3.1,34.3,0.2,0.0,7.8
Jonnu Smith,TEN,2.6,27.4,0.3,0.0,7.3
Nick Vannett,SEA,2.8,31.0,0.2,0.1,7.3
Benjamin Watson,NO,2.6,29.4,0.2,0.0,6.8
Ricky Seals-Jones,ARI,2.7,31.9,0.1,0.0,6.6
James O'Shaughnessy,JAC,2.6,27.4,0.1,0.0,6.1
Antonio Gates,LAC,2.0,22.6,0.2,0.0,5.2
Michael Roberts,DET,1.8,20.2,0.2,0.0,5.1
Vernon Davis,WAS,1.9,26.1,0.1,0.0,5.0
Mark Andrews,BAL,1.7,22.0,0.2,0.0,4.9
Jesse James,PIT,1.8,22.0,0.1,0.0,4.8
Jason Croom,BUF,1.8,19.1,0.2,0.1,4.6
Ryan Griffin,HOU,1.7,20.8,0.1,0.0,4.4
Mike Gesicki,MIA,1.7,18.5,0.1,0.0,4.2
Ed Dickson,SEA,1.4,16.9,0.2,0.0,4.1
Logan Thomas,BUF,1.9,17.7,0.1,0.0,4.0
Nick O'Leary,MIA,1.3,16.6,0.1,0.0,3.8
Josh Hill,NO,1.3,13.8,0.2,0.0,3.7
Dallas Goedert,PHI,1.3,14.9,0.1,0.0,3.6
Luke Willson,DET,1.6,15.6,0.1,0.0,3.5
Jordan Thomas,HOU,1.2,14.2,0.1,0.0,3.5
Virgil Green,LAC,1.3,14.7,0.1,0.0,3.5
Blake Jarwin,DAL,1.3,14.1,0.1,0.0,3.2
A.J. Derby,MIA,1.2,12.7,0.1,0.0,3.0
Rhett Ellison,NYG,1.3,12.7,0.1,0.1,3.0
Nick Boyle,BAL,1.3,12.5,0.1,0.0,2.9
Hayden Hurst,BAL,1.1,12.2,0.1,0.0,2.9
Jermaine Gresham,ARI,1.3,13.1,0.1,0.1,2.9
Jordan Akins,HOU,1.0,11.3,0.1,0.0,2.8
Lance Kendricks,GB,1.1,11.4,0.1,0.0,2.6
Jordan Leggett,NYJ,1.0,10.4,0.1,0.0,2.5
Luke Stocker,TEN,1.0,10.7,0.1,0.0,2.5
Rico Gathers,DAL,0.9,9.9,0.1,0.0,2.4
Matt LaCosse,DEN,0.9,10.1,0.1,0.0,2.3
Darren Fells,CLE,0.8,8.8,0.1,0.0,2.2
Blake Bell,JAC,0.8,9.6,0.1,0.0,2.1
Mo Alie-Cox,IND,0.7,8.0,0.1,0.0,2.1
Maxx Williams,BAL,0.9,7.2,0.1,0.0,2.1
Robert Tonyan,GB,0.6,8.5,0.1,0.0,2.0
Dan Arnold,NO,0.7,8.0,0.1,0.0,2.0
Dalton Schultz,DAL,0.8,8.9,0.1,0.0,2.0
Derek Carrier,OAK,0.9,8.5,0.0,0.0,1.9
Matt Lengel,CIN,0.7,7.2,0.1,0.0,1.8
Garrett Celek,SF,0.5,6.5,0.1,0.0,1.8
Seth DeValve,CLE,0.7,7.6,0.1,0.0,1.8
Eric Tomlinson,NYJ,0.7,6.3,0.0,0.0,1.4
Anthony Firkser,TEN,0.5,5.3,0.0,0.0,1.3
Antony Auclair,TB,0.6,5.1,0.0,0.0,1.2
Levine Toilolo,DET,0.6,5.2,0.0,0.0,1.2
Ben Koyack,JAC,0.5,5.4,0.0,0.0,1.2
Marcedes Lewis,GB,0.5,5.9,0.0,0.0,1.1
Alan Cross,TB,0.3,3.7,0.1,0.0,1.0
Logan Paulsen,ATL,0.4,4.2,0.0,0.0,1.0
Richard Rodgers,PHI,0.4,4.4,0.0,0.0,1.0
Jacob Hollister,NE,0.4,4.7,0.0,0.0,0.9
Ben Braunecker,CHI,0.4,3.8,0.0,0.0,0.9
Ian Thomas,CAR,0.4,3.6,0.0,0.0,0.8
Dion Sims,CHI,0.4,3.0,0.0,0.0,0.8
Tyler Conklin,NE,0.4,3.4,0.0,0.1,0.8
Eric Saubert,ATL,0.4,3.4,0.0,0.0,0.7
Jordan Franks,CIN,0.3,3.1,0.0,0.0,0.7
Ross Dwelley,SF,0.3,3.1,0.0,0.0,0.7
Xavier Grimble,PIT,0.3,3.2,0.0,0.0,0.7
MyCole Pruitt,TEN,0.1,1.4,0.1,0.0,0.6
Jerell Adams,HOU,0.2,2.1,0.0,0.0,0.5
Scott Simonson,NYG,0.2,2.3,0.0,0.0,0.5
Joshua Perkins,PHI,0.2,1.7,0.0,0.0,0.5
Lee Smith,OAK,0.2,1.9,0.0,0.0,0.4
Darrell Daniels,SEA,0.2,1.3,0.0,0.0,0.4
Daniel Brown,CHI,0.2,1.7,0.0,0.0,0.4
Jeremy Sprinkle,WAS,0.2,2.0,0.0,0.0,0.4
John Phillips,ARI,0.1,1.6,0.0,0.0,0.3
Orson Charles,CLE,0.1,1.6,0.0,0.0,0.3
Durham Smythe,MIA,0.2,1.3,0.0,0.0,0.3
Brian Parker,DEN,0.2,1.5,0.0,0.0,0.3
Chris Manhertz,CAR,0.2,1.2,0.0,0.0,0.3
Bucky Hodges,PIT,0.0,0.0,0.0,0.0,0.0
Garrett Griffin,NO,0.0,0.0,0.0,0.0,0.0
Clark Harris,CIN,0.0,0.0,0.0,0.0,0.0
Austin Roberts,LAC,0.0,0.0,0.0,0.0,0.0
Stephen Anderson,NE,0.0,0.0,0.0,0.0,0.0
Jevoni Robinson,HOU,0.0,0.0,0.0,0.0,0.0
Will Tye,PHI,0.0,0.0,0.0,0.0,0.0
Cole Wick,SF,0.0,0.0,0.0,0.0,0.0
Troy Fumagalli,DEN,0.0,0.0,0.0,0.0,0.0
