"Player","Team","Opponent","DK Position","DK Salary","DK Projection","DK Value","DK Ownership","DKSlateID","DK Ceiling"
"Carson Wentz","IND","LA","QB","5200","15.8","-0.4","1.0","19184015","23.1"
"Laviska Shenault Jr.","JAX","DEN","WR","4900","12.3","-0.4","2.1","19184558","16.3"
"Hunter Renfrow","LV","PIT","WR","3600","9.7","-0.4","1.9","19184630","13.8"
"Kirk Cousins","MIN","ARI","QB","6200","18.8","-0.4","0.8","19184002","24.7"
"Adam Thielen","MIN","ARI","WR","7100","16.6","-0.4","0.7","19184490","23.7"
"Adam Trautman","NO","CAR","TE","3000","8.5","-0.4","8.9","19185196","12.9"
"Julio Jones","TEN","SEA","WR","6300","15.1","-0.4","3.7","19184510","22.5"
"Cardinals ","ARI","MIN","DST","2900","6.4","-0.4","4.7","19185512","11.0"
"Chase Edmonds","ARI","MIN","RB","4900","12.3","-0.5","7.8","19184150","18.2"
"Darnell Mooney","CHI","CIN","WR","4200","10.8","-0.5","3.4","19184592","15.8"
"Jonathan Taylor","IND","LA","RB","7200","16.8","-0.5","3.8","19184102","22.6"
"Zach Wilson","NYJ","NE","QB","5100","15.4","-0.5","0.5","19184018","22.1"
"Bears ","CHI","CIN","DST","2800","6.0","-0.5","6.8","19185515","10.5"
"Browns ","CLE","HOU","DST","3500","7.5","-0.5","5.9","19185507","12.5"
"Vikings ","MIN","ARI","DST","2100","4.7","-0.5","9.0","19185525","8.6"
"A.J. Green","ARI","MIN","WR","3700","9.8","-0.6","1.0","19184612","15.0"
"Matt Ryan","ATL","TB","QB","5600","16.8","-0.6","1.1","19184009","23.8"
"Courtland Sutton","DEN","JAX","WR","5200","12.7","-0.6","4.9","19184548","19.6"
"Nyheim Hines","IND","LA","RB","4700","11.7","-0.6","1.5","19184158","16.4"
"Justin Jefferson","MIN","ARI","WR","7400","16.9","-0.7","2.4","19184486","25.3"
"Corey Davis","NYJ","NE","WR","5300","12.8","-0.7","6.2","19184544","17.3"
"Chase Claypool","PIT","LV","WR","5600","13.4","-0.7","4.4","19184534","20.2"
"Panthers ","CAR","NO","DST","2700","5.7","-0.7","2.3","19185516","10.0"
"Broncos ","DEN","JAX","DST","3800","7.9","-0.7","1.2","19185504","13.0"
"Kyle Pitts","ATL","TB","TE","5200","12.5","-0.8","6.1","19185148","16.7"
"Cedrick Wilson","DAL","LAC","WR","3100","8.3","-0.8","1.7","19184690","13.2"
"Darren Waller","LV","PIT","TE","7600","17.3","-0.8","3.6","19185144","24.2"
"Bengals ","CIN","CHI","DST","2900","5.9","-0.8","0.8","19185513","10.3"
"Chargers ","LAC","DAL","DST","2600","5.4","-0.8","5.9","19185517","9.5"
"Rondale Moore","ARI","MIN","WR","4000","10.0","-0.9","2.7","19184600","16.5"
"Terrace Marshall Jr.","CAR","NO","WR","3300","8.7","-0.9","2.0","19184658","11.7"
"Jaguars ","JAX","DEN","DST","2300","4.7","-0.9","4.3","19185522","8.6"
"DJ Moore","CAR","NO","WR","5900","13.7","-1.0","5.0","19184522","18.8"
"Tyrod Taylor","HOU","CLE","QB","5500","16.1","-1.0","0.5","19184011","23.6"
"Dolphins ","MIA","BUF","DST","2500","5.0","-1.0","3.4","19185519","9.0"
"Donovan Peoples-Jones","CLE","HOU","WR","3000","7.8","-1.1","7.2","19185082","14.2"
"DJ Chark Jr.","JAX","DEN","WR","5600","13.0","-1.1","0.5","19184532","17.8"
"Van Jefferson Jr.","LA","IND","WR","3500","8.6","-1.3","1.4","19184632","14.0"
"Mac Jones","NE","NYJ","QB","5400","15.5","-1.3","0.6","19184013","22.0"
"Eli Mitchell","SF","PHI","RB","5000","11.6","-1.3","7.0","19184146","17.8"
"Bills ","BUF","MIA","DST","3300","6.3","-1.3","0.5","19185508","10.8"
"Buccaneers ","TB","ATL","DST","4100","7.8","-1.3","0.8","19185503","12.9"
"K.J. Osborn","MIN","ARI","WR","3300","8.2","-1.4","0.5","19184656","12.8"
"DeVonta Smith","PHI","SF","WR","5400","12.3","-1.4","5.1","19184540","17.7"
"Leonard Fournette","TB","ATL","RB","5100","11.8","-1.4","4.4","19184138","18.5"
"Colts ","IND","LA","DST","2500","4.6","-1.4","2.8","19185518","8.4"
"Seahawks ","SEA","TEN","DST","3000","5.6","-1.4","0.5","19185511","9.8"
"Devin Singletary","BUF","MIA","RB","4900","11.2","-1.5","0.6","19184148","15.7"
"Melvin Gordon III","DEN","JAX","RB","5900","13.2","-1.5","0.5","19184120","20.8"
"James O'Shaughnessy","JAX","DEN","TE","2700","6.8","-1.5","5.3","19185232","9.5"
"Myles Gaskin","MIA","BUF","RB","5900","13.2","-1.5","4.2","19184122","18.3"
"DeVante Parker","MIA","BUF","WR","5500","12.4","-1.5","1.5","19184538","17.1"
"49ers ","SF","PHI","DST","3600","6.7","-1.5","0.5","19185506","11.3"
"James Conner","ARI","MIN","RB","4400","10.1","-1.6","0.5","19184176","15.8"
"James White","NE","NYJ","RB","4600","10.5","-1.6","1.9","19184162","16.6"
"Texans ","HOU","CLE","DST","2000","3.3","-1.6","0.6","19185527","6.8"
"Anthony Schwartz","CLE","HOU","WR","3300","7.9","-1.7","0.8","19184662","14.1"
"Brandin Cooks","HOU","CLE","WR","5900","13.0","-1.7","1.3","19184524","17.6"
"Rob Gronkowski","TB","ATL","TE","4700","10.5","-1.8","4.0","19185150","17.5"
"Michael Pittman Jr.","IND","LA","WR","4300","9.7","-1.9","0.5","19184586","13.7"
"Bryan Edwards","LV","PIT","WR","3700","8.5","-1.9","1.4","19184618","12.2"
"Elijah Moore","NYJ","NE","WR","3500","8.1","-1.9","2.2","19184634","11.1"
"Miles Sanders","PHI","SF","RB","6900","14.8","-1.9","0.5","19184106","20.5"
"Jalen Reagor","PHI","SF","WR","4100","9.3","-1.9","0.5","19184596","13.4"
"Cowboys ","DAL","LAC","DST","2400","3.9","-1.9","1.0","19185521","7.5"
"Titans ","TEN","SEA","DST","2200","3.5","-1.9","2.3","19185524","6.9"
"Jarvis Landry","CLE","HOU","WR","6300","13.5","-2.0","1.6","19184508","21.6"
"Will Dissly","SEA","TEN","TE","3000","7.0","-2.0","1.7","19185194","12.4"
"Pharaoh Brown","HOU","CLE","TE","2900","6.7","-2.1","0.5","19185220","9.0"
"KJ Hamler","DEN","JAX","WR","3800","8.3","-2.2","3.0","19184610","13.3"
"Kareem Hunt","CLE","HOU","RB","5800","12.2","-2.3","3.0","19184124","19.9"
"Trevor Lawrence","JAX","DEN","QB","6000","16.3","-2.3","0.5","19184005","22.9"
"Nelson Agholor","NE","NYJ","WR","4800","10.2","-2.3","0.5","19184566","15.8"
"Jimmy Garoppolo","SF","PHI","QB","5700","15.4","-2.3","0.5","19184008","18.4"
"Raiders ","LV","PIT","DST","2800","4.2","-2.3","0.2","19185514","8.0"
"Henry Ruggs III","LV","PIT","WR","4200","8.9","-2.4","0.5","19184590","12.9"
"Robby Anderson","CAR","NO","WR","5800","12.0","-2.5","0.5","19184526","16.5"
"Tim Patrick","DEN","JAX","WR","4600","9.6","-2.5","3.0","19184574","15.7"
"Tyler Kroft","NYJ","NE","TE","2900","6.2","-2.5","0.5","19185218","8.1"
"Ronald Jones II","TB","ATL","RB","4800","10.0","-2.5","0.5","19184156","16.6"
"Anthony Firkser","TEN","SEA","TE","3400","7.3","-2.5","0.7","19185182","10.9"
"Austin Hooper","CLE","HOU","TE","3800","7.9","-2.6","0.5","19185166","13.2"
"Jalen Guyton","LAC","DAL","WR","3100","6.6","-2.6","0.5","19184688","11.9"
"Jameis Winston","NO","CAR","QB","6100","16.3","-2.6","0.5","19184003","26.4"
"Gerald Everett","SEA","TEN","TE","3600","7.6","-2.6","3.2","19185174","12.8"
"Nico Collins","HOU","CLE","WR","3200","6.5","-2.8","0.5","19184666","8.5"
"Trent Sherfield","SF","PHI","WR","3200","6.6","-2.8","0.5","19184674","11.0"
"Christian Kirk","ARI","MIN","WR","5000","10.0","-2.9","0.5","19184556","16.2"
"C.J. Uzomah","CIN","CHI","TE","3000","6.1","-2.9","0.5","19185200","9.2"
"David Njoku","CLE","HOU","TE","3600","7.2","-2.9","0.5","19185176","12.7"
"Dalton Schultz","DAL","LAC","TE","3300","6.7","-2.9","1.0","19185184","11.0"
"Falcons ","ATL","TB","DST","2100","2.3","-2.9","0.6","19185526","5.3"
"Mo Alie-Cox","IND","LA","TE","2700","5.4","-3.0","0.5","19185226","8.4"
"Deonte Harris","NO","CAR","WR","3900","7.7","-3.0","0.5","19184606","12.2"
"Kenneth Gainwell","PHI","SF","RB","4000","7.8","-3.1","0.5","19184368","13.2"
"Tyler Conklin","MIN","ARI","TE","3200","6.2","-3.2","0.7","19185188","9.6"
"Blake Jarwin","DAL","LAC","TE","3100","5.9","-3.3","0.9","19185190","10.1"
"Zach Pascal","IND","LA","WR","4400","8.4","-3.3","0.5","19184584","12.1"
"Carlos Hyde","JAX","DEN","RB","4400","8.4","-3.3","0.5","19184180","12.2"
"Jonnu Smith","NE","NYJ","TE","4500","8.6","-3.3","0.5","19185154","13.3"
"Dallas Goedert","PHI","SF","TE","4600","8.8","-3.3","0.8","19185152","12.9"
"Eric Ebron","PIT","LV","TE","3500","6.6","-3.3","0.5","19185178","10.5"
"Albert Okwuegbunam","DEN","JAX","TE","2900","5.3","-3.5","0.5","19185216","9.3"
"Parris Campbell","IND","LA","WR","3600","6.6","-3.5","0.5","19184626","9.7"
"Mike Gesicki","MIA","BUF","TE","4000","7.4","-3.5","0.6","19185162","10.8"
"DeSean Jackson","LA","IND","WR","3300","6.0","-3.6","0.5","19184660","10.2"
"Cordarrelle Patterson","ATL","TB","WR","3800","6.8","-3.7","0.5","19184608","9.9"
"Russell Gage","ATL","TB","WR","4800","8.9","-3.7","0.5","19184562","12.1"
"Marquise Goodwin","CHI","CIN","WR","3500","6.2","-3.8","0.5","19184636","10.3"
"Peyton Barber","LV","PIT","RB","4000","7.2","-3.8","0.5","19184326","10.2"
"Ryan Griffin","NYJ","NE","TE","2600","4.4","-3.8","0.0","19185236","6.2"
"Damien Williams","CHI","CIN","RB","4900","8.8","-3.9","0.5","19184152","14.5"
"Harrison Bryant","CLE","HOU","TE","2500","4.1","-3.9","0.1","19185458","8.4"
"Jack Doyle","IND","LA","TE","3100","5.2","-3.9","0.5","19185192","7.6"
"James Robinson","JAX","DEN","RB","6400","11.8","-3.9","0.5","19184108","16.6"
"Jamison Crowder","NYJ","NE","WR","4500","8.1","-3.9","0.5","19184580","11.0"
"Quez Watkins","PHI","SF","WR","3200","5.3","-4.0","0.5","19184678","8.4"
"Rams ","LA","IND","DST","4500","5.9","-4.0","0.5","19185502","10.3"
"Dawson Knox","BUF","MIA","TE","3500","5.7","-4.2","0.5","19185180","9.4"
"Dan Arnold","CAR","NO","TE","2900","4.6","-4.2","0.0","19185212","7.1"
"Zach Ertz","PHI","SF","TE","3700","6.2","-4.2","0.5","19185170","9.0"
"Gabriel Davis","BUF","MIA","WR","3900","6.5","-4.3","0.5","19184604","10.7"
"Mark Ingram II","HOU","CLE","RB","5000","8.6","-4.3","0.5","19184142","10.8"
"Josh Reynolds","TEN","SEA","WR","3000","4.6","-4.3","0.0","19184698","7.6"
"Jordan Akins","HOU","CLE","TE","3000","4.6","-4.4","0.2","19185202","6.2"
"Trey Sermon","SF","PHI","RB","4600","7.6","-4.5","0.5","19184164","13.1"
"Chester Rogers","TEN","SEA","WR","3200","4.9","-4.5","0.0","19184670","7.9"
"Durham Smythe","MIA","BUF","TE","2500","3.4","-4.6","0.0","19185478","5.6"
"Tevin Coleman","NYJ","NE","RB","4700","7.7","-4.6","0.5","19184160","12.0"
"Freddie Swain","SEA","TEN","WR","3400","5.1","-4.6","0.5","19184646","9.8"
"Hayden Hurst","ATL","TB","TE","3800","5.8","-4.7","0.5","19185168","7.8"
"Chris Conley","HOU","CLE","WR","3100","4.5","-4.7","0.0","19184694","6.0"
"Albert Wilson","MIA","BUF","WR","3000","4.3","-4.7","0.0","19185110","6.7"
"Brandon Aiyuk","SF","PHI","WR","5500","9.0","-4.9","0.5","19184536","14.5"
"Ty Johnson","NYJ","NE","RB","4500","6.9","-5.0","0.5","19184174","11.4"
"James Washington","PIT","LV","WR","3400","4.8","-5.0","0.0","19184640","8.8"
"Pat Freiermuth","PIT","LV","TE","2700","3.3","-5.0","0.0","19185230","6.7"
"Maxx Williams","ARI","MIN","TE","2700","3.3","-5.1","0.0","19185228","6.9"
"Danny Amendola","HOU","CLE","WR","3600","5.0","-5.2","0.0","19184624","6.6"
"Hunter Henry","NE","NYJ","TE","4300","6.4","-5.2","0.5","19185156","10.0"
"Demetrius Harris","ARI","MIN","TE","2500","2.5","-5.5","0.0","19185314","5.6"
"Damiere Byrd","CHI","CIN","WR","3200","3.9","-5.5","0.0","19184676","6.8"
"Tony Jones Jr.","NO","CAR","RB","4400","6.2","-5.5","0.5","19184178","9.4"
"Juwan Johnson","NO","CAR","WR","3600","4.6","-5.5","0.0","19184628","7.7"
"Mohamed Sanu","SF","PHI","WR","3000","3.5","-5.5","0.0","19184942","6.7"
"Jimmy Graham","CHI","CIN","TE","3200","3.8","-5.6","0.0","19185186","6.5"
"Donald Parham Jr.","LAC","DAL","TE","2900","3.2","-5.6","0.0","19185210","6.9"
"Preston Williams","MIA","BUF","WR","3000","3.4","-5.6","0.0","19185108","5.5"
"Geoff Swaim","TEN","SEA","TE","2500","2.4","-5.6","0.0","19185278","4.6"
"Diontae Spencer","DEN","JAX","WR","3000","3.3","-5.7","0.0","19185000","6.5"
"Larry Rountree III","LAC","DAL","RB","4000","5.1","-5.8","0.0","19184212","10.4"
"Keelan Cole Sr.","NYJ","NE","WR","3000","3.1","-5.8","0.0","19185018","4.6"
"Rhamondre Stevenson","NE","NYJ","RB","4000","4.9","-6.0","0.0","19184400","9.9"
"Kendrick Bourne","NE","NYJ","WR","4100","5.2","-6.0","0.5","19184594","8.7"
"Giovani Bernard","TB","ATL","RB","4200","5.3","-6.0","0.5","19184194","10.6"
"Ian Thomas","CAR","NO","TE","2500","1.8","-6.1","0.0","19185332","3.3"
"Tony Pollard","DAL","LAC","RB","5300","7.4","-6.1","0.5","19184134","13.0"
"Lil'Jordan Humphrey","NO","CAR","WR","3000","2.8","-6.1","0.0","19184872","5.4"
"Mike Strachan","IND","LA","WR","3000","2.7","-6.2","0.0","19184926","4.9"
"Chris Herndon","MIN","ARI","TE","2900","2.5","-6.2","0.0","19185208","4.9"
"Michael Carter","NYJ","NE","RB","4100","4.9","-6.2","0.0","19184202","9.1"
"Johnny Mundt","LA","IND","TE","2500","1.6","-6.3","0.0","19185368","4.2"
"Eric Saubert","DEN","JAX","TE","2500","1.5","-6.5","0.0","19185416","4.1"
"Cameron Brate","TB","ATL","TE","2900","2.2","-6.5","0.0","19185214","6.2"
"Salvon Ahmed","MIA","BUF","RB","4100","4.5","-6.6","0.0","19184200","8.3"
"Kylen Granson","IND","LA","TE","2500","1.1","-6.8","0.0","19185376","2.8"
"Chris Manhertz","JAX","DEN","TE","3000","2.2","-6.8","0.0","19185198","3.6"
"Mike Thomas","CIN","CHI","WR","3000","2.1","-6.9","0.0","19185046","4.0"
"Zay Jones","LV","PIT","WR","3100","2.3","-6.9","0.0","19184692","3.8"
"Malcolm Brown","MIA","BUF","RB","4000","4.1","-6.9","0.0","19184452","7.8"
"Olamide Zaccheaus","ATL","TB","WR","3200","2.4","-7.0","0.0","19184664","4.0"
"Zack Moss","BUF","MIA","RB","4500","4.9","-7.0","0.0","19184170","9.0"
"Foster Moreau","LV","PIT","TE","3000","1.9","-7.0","0.0","19185206","3.5"
"Stephen Anderson","LAC","DAL","TE","2500","1.0","-7.0","0.0","19185244","4.1"
"Greg Ward","PHI","SF","WR","3000","2.0","-7.0","0.0","19184958","4.0"
"Alex Collins","SEA","TEN","RB","4000","3.9","-7.0","0.0","19184230","8.8"
"Joshua Palmer","LAC","DAL","WR","3000","1.8","-7.1","0.0","19184700","5.3"
"Ross Dwelley","SF","PHI","TE","2500","0.9","-7.1","0.0","19185390","3.4"
"Drew Sample","CIN","CHI","TE","2700","1.2","-7.2","0.0","19185224","2.8"
"David Johnson","HOU","CLE","RB","5200","6.2","-7.2","0.5","19184136","8.6"
"Dede Westbrook","MIN","ARI","WR","3000","1.7","-7.2","0.0","19184834","3.9"
"Samaje Perine","CIN","CHI","RB","4200","4.0","-7.3","0.0","19184198","8.1"
"Jakeem Grant","MIA","BUF","WR","3100","1.9","-7.3","0.0","19184680","3.9"
"Darrell Daniels","ARI","MIN","TE","2500","0.6","-7.4","0.0","19185312","3.2"
"Auden Tate","CIN","CHI","WR","3000","1.5","-7.4","0.0","19185044","3.3"
"Chris Hogan","NO","CAR","WR","3000","1.6","-7.4","0.0","19184874","3.7"
"Zach Gentry","PIT","LV","TE","2500","0.6","-7.4","0.0","19185350","3.1"
"O.J. Howard","TB","ATL","TE","3000","1.6","-7.4","0.0","19185204","5.5"
"Trevon Wesco","NYJ","NE","TE","2500","0.5","-7.5","0.0","19185426","1.3"
"Tommy Sweeney","BUF","MIA","TE","2500","0.3","-7.7","0.0","19185492","2.6"
"Cethan Carter","MIA","BUF","TE","2500","0.3","-7.7","0.0","19185482","1.8"
"Brandon Dillon","MIN","ARI","TE","2500","0.3","-7.7","0.0","19185322","2.1"
"Charlie Woerner","SF","PHI","TE","2500","0.3","-7.7","0.0","19185392","2.6"
"Scotty Miller","TB","ATL","WR","3400","2.1","-7.7","0.0","19184648","6.2"
"Tajae Sharpe","ATL","TB","WR","3000","1.2","-7.8","0.0","19184798","2.4"
"Antony Auclair","HOU","CLE","TE","2500","0.2","-7.8","0.0","19185470","0.8"
"Justin Jackson","LAC","DAL","RB","4000","3.1","-7.8","0.0","19184208","7.8"
"Penny Hart","SEA","TEN","WR","3000","1.1","-7.8","0.0","19184738","4.5"
"Jeremy McNichols","TEN","SEA","RB","4600","4.3","-7.8","0.0","19184168","7.2"
"Jesse James","CHI","CIN","TE","2600","0.3","-7.9","0.0","19185238","2.2"
"K.J. Hill","LAC","DAL","WR","3000","1.0","-7.9","0.0","19184702","4.2"
"Tyler Johnson","TB","ATL","WR","3000","1.0","-7.9","0.0","19184778","4.7"
"Isaiah McKenzie","BUF","MIA","WR","3200","1.4","-8.0","0.0","19184668","4.0"
"Jamal Agnew","JAX","DEN","WR","3000","1.0","-8.0","0.0","19184976","2.2"
"Phillip Lindsay","HOU","CLE","RB","4600","4.0","-8.1","0.0","19184166","5.8"
"Ty Montgomery","NO","CAR","RB","4000","2.8","-8.1","0.0","19184306","5.3"
"Braxton Berrios","NYJ","NE","WR","3600","2.1","-8.1","0.0","19184622","3.4"
"JaMycal Hasty","SF","PHI","RB","4200","3.1","-8.2","0.0","19184196","7.4"
"Rex Burkhead","HOU","CLE","RB","4000","2.6","-8.3","0.0","19184444","4.2"
"Tutu Atwell","LA","IND","WR","3000","0.6","-8.3","0.0","19184916","3.0"
"Brandon Zylstra","CAR","NO","WR","3000","0.5","-8.4","0.0","19184852","1.8"
"Noah Brown","DAL","LAC","WR","3000","0.6","-8.4","0.0","19184716","3.0"
"Mack Hollins","MIA","BUF","WR","3000","0.5","-8.4","0.0","19185112","2.1"
"Kyle Juszczyk","SF","PHI","RB","4000","2.6","-8.4","0.0","19184366","6.6"
"Nick Westbrook-Ikhine","TEN","SEA","WR","3000","0.5","-8.4","0.0","19184760","2.4"
"Christian Blake","ATL","TB","WR","3000","0.5","-8.5","0.0","19184796","1.5"
"Alec Ingold","LV","PIT","RB","4000","2.5","-8.5","0.0","19184332","4.4"
"Ray-Ray McCloud III","PIT","LV","WR","3000","0.5","-8.5","0.0","19184888","3.0"
"Simi Fehoko","DAL","LAC","WR","3000","0.3","-8.6","0.0","19184718","2.7"
"Ihmir Smith-Marsette","MIN","ARI","WR","3000","0.3","-8.6","0.0","19184836","2.1"
"Gunner Olszewski","NE","NYJ","WR","3100","0.5","-8.6","0.0","19184686","2.6"
"Ashton Dulin","IND","LA","WR","3000","0.2","-8.7","0.0","19184928","1.7"
"JJ Arcega-Whiteside","PHI","SF","WR","3000","0.3","-8.7","0.0","19184960","2.0"
"DeeJay Dallas","SEA","TEN","RB","4000","2.2","-8.7","0.0","19184234","6.2"
"Ameer Abdullah","MIN","ARI","RB","4000","2.1","-8.8","0.0","19184278","4.8"
"N'Keal Harry","NE","NYJ","WR","3000","0.1","-8.9","0.0","19185034","2.0"
"Matt Breida","BUF","MIA","RB","4300","2.6","-9.0","0.0","19184190","5.9"
"Tyron Johnson","JAX","DEN","WR","3600","0.9","-9.2","0.0","19184620","2.2"
"Willie Snead IV","LV","PIT","WR","3400","0.6","-9.2","0.0","19184650","1.8"
"Travis Homer","SEA","TEN","RB","4000","1.8","-9.2","0.0","19184232","5.5"
"Rashard Higgins","CLE","HOU","WR","3900","1.2","-9.5","0.0","19184602","4.9"
"Keith Smith","ATL","TB","RB","4000","1.1","-9.9","0.0","19184262","2.7"
"Chuba Hubbard","CAR","NO","RB","4500","2.1","-9.9","0.0","19184172","4.7"
"Sony Michel","LA","IND","RB","5000","2.9","-10.0","0.0","19184144","6.6"
"C.J. Ham","MIN","ARI","RB","4000","1.0","-10.0","0.0","19184284","3.4"
"Kalen Ballage","PIT","LV","RB","4000","0.8","-10.1","0.0","19184312","4.4"
"Khari Blasingame","TEN","SEA","RB","4000","0.6","-10.3","0.0","19184248","2.5"
